symbol,company_name,sector
4280,Kingdom Holding Co.,Financial Services
4001,Abdullah Al Othaim Markets Co.,Consumer Staples Distribution & Retail
4191,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,Consumer Discretionary Distribution & Retail
1820,Abdulmohsen Alhokair Group for Tourism and Development,Consumer Services
2082,ACWA POWER Co.,Utilities
2330,Advanced Petrochemical Co.,Materials
2340,Al Abdullatif Industrial Investment Co.,Consumer Durables & Apparel
8280,Al Alamiya for Cooperative Insurance Co.,Insurance
6020,Al Gassim Investment Holding Co.,Food & Beverages
4007,Al Hammadi Company for Development and Investment,Health Care Equipment & Svc
1214,Al Hassan Ghazi Ibrahim Shaker Co.,Capital Goods
3091,Al Jouf Cement Co.,Materials
3008,Al Kathiri Holding Co.,Materials
4334,AL Maather REIT Fund,REITs
7200,Al Moammar Information Systems Co.,Software & Services
1120,Al Rajhi Bank,Banks
4340,Al Rajhi REIT Fund,REITs
8180,Al Sagr Cooperative Insurance Co.,Insurance
1304,Al Yamamah Steel Industries Co.,Materials
2320,Al-Babtain Power and Telecommunication Co.,Capital Goods
4130,Al-Baha Investment and Development Co.,Financial Services
8170,Al-Etihad Cooperative Insurance Co.,Insurance
6070,Al-Jouf Agricultural Development Co.,Food & Beverages
4141,Al-Omran Industrial Trading Co.,Capital Goods
8230,Al-Rajhi Company for Cooperative Insurance,Insurance
4338,AlAhli REIT Fund 1,REITs
4320,Alandalus Property Co.,Real Estate Mgmt & Dev't
4163,Aldawaa Medical Services Co.,Consumer Staples Distribution & Retail
4200,Aldrees Petroleum and Transport Services Co.,Consumer Discretionary Distribution & Retail
1150,Alinma Bank,Banks
8312,Alinma Tokio Marine Co.,Insurance
4331,AlJazira REIT,REITs
8012,Aljazira Takaful Taawuni Co.,Insurance
4348,Alkhabeer REIT Fund,REITs
4290,Alkhaleej Training and Education Co.,Consumer Services
2081,Alkhorayef Water and Power Technologies Co.,Utilities
8040,Allianz Saudi Fransi Cooperative Insurance Co.,Insurance
8150,Allied Cooperative Insurance Group,Insurance
2280,Almarai Co.,Food & Beverages
1322,Almasane Alkobra Mining Co.,Materials
4162,Almunajem Foods Co.,Consumer Staples Distribution & Retail
2170,Alujain Holding Corp.,Materials
8310,Amana Cooperative Insurance Co.,Insurance
1182,Amlak International for Real Estate Finance Co.,Financial Services
4061,Anaam International Holding Group,Consumer Staples Distribution & Retail
1080,Arab National Bank,Banks
7201,Arab Sea Information System Co.,Software & Services
8160,Arabia Insurance Cooperative Co.,Insurance
3010,Arabian Cement Co.,Materials
4321,Arabian Centres Co.,Real Estate Mgmt & Dev't
4071,Arabian Contracting Services Co.,Media and Entertainment
7202,Arabian Internet and Communications Services Co.,Software & Services
2200,Arabian Pipes Co.,Materials
8070,Arabian Shield Cooperative Insurance Co.,Insurance
4150,Arriyadh Development Co.,Real Estate Mgmt & Dev't
4080,"Aseer Trading, Tourism and Manufacturing Co.",Food & Beverages
6060,Ash-Sharqiyah Development Co.,Food & Beverages
1212,Astra Industrial Group,Capital Goods
4292,Ataa Educational Co.,Consumer Services
8250,AXA Cooperative Insurance Co.,Insurance
2140,AYYAN Investment Co.,Health Care Equipment & Svc
4051,Baazeem Trading Co.,Consumer Discretionary Distribution & Retail
1140,Bank Albilad,Banks
1020,Bank Aljazira,Banks
1050,Banque Saudi Fransi,Banks
1210,Basic Chemical Industries Co.,Materials
4110,Batic Investments and Logistics Co.,Capital Goods
1302,Bawan Co.,Capital Goods
4161,BinDawood Holding Co.,Consumer Staples Distribution & Retail
4347,Bonyan REIT Fund,REITs
8210,Bupa Arabia for Cooperative Insurance Co.,Insurance
8270,Buruj Cooperative Insurance Co.,Insurance
8240,CHUBB Arabia Cooperative Insurance Co.,Insurance
3003,City Cement Co.,Materials
4004,Dallah Healthcare Co.,Health Care Equipment & Svc
4300,Dar Alarkan Real Estate Development Co.,Real Estate Mgmt & Dev't
4339,Derayah REIT Fund,REITs
6013,Development Works Food Co.,Consumer Services
4013,Dr. Sulaiman Al Habib Medical Services Group,Health Care Equipment & Svc
4010,Dur Hospitality Co.,Consumer Services
1321,East Pipes Integrated Company for Industry,Materials
3080,Eastern Province Cement Co.,Materials
1303,Electrical Industries Co.,Capital Goods
7203,Elm Co.,Software & Services
4220,Emaar The Economic City,Real Estate Mgmt & Dev't
7040,Etihad Atheeb Telecommunication Co.,Telecommunication Services
7020,Etihad Etisalat Co.,Telecommunication Services
4240,Fawaz Abdulaziz Alhokair Co.,Consumer Discretionary Distribution & Retail
2180,Filing and Packing Materials Manufacturing Co.,Materials
4180,Fitaihi Holding Group,Consumer Durables & Apparel
8260,Gulf General Cooperative Insurance Co.,Insurance
8120,Gulf Union Alahlia Cooperative Insurance Co.,Insurance
3001,Hail Cement Co.,Materials
6001,Halwani Bros. Co.,Food & Beverages
6002,Herfy Food Services Co.,Consumer Services
4250,Jabal Omar Development Co.,Real Estate Mgmt & Dev't
4332,Jadwa REIT Al Haramain Fund,REITs
4342,Jadwa REIT Saudi Fund,REITs
4190,Jarir Marketing Co.,Consumer Discretionary Distribution & Retail
6090,Jazan Energy and Development Co.,Food & Beverages
4310,Knowledge Economic City,Real Estate Mgmt & Dev't
4011,Lazurde Company for Jewelry,Consumer Durables & Apparel
1830,Leejam Sports Co.,Consumer Services
1831,Maharah Human Resources Co.,Commercial & Professional Svc
4100,Makkah Construction and Development Co.,Real Estate Mgmt & Dev't
8020,Malath Cooperative Insurance Co.,Insurance
4346,MEFIC REIT Fund,REITs
2001,Methanol Chemicals Co.,Materials
4009,Middle East Healthcare Co.,Health Care Equipment & Svc
1202,Middle East Paper Co.,Materials
2370,Middle East Specialized Cables Co.,Capital Goods
7030,Mobile Telecommunication Company Saudi Arabia,Telecommunication Services
4002,Mouwasat Medical Services Co.,Health Care Equipment & Svc
4336,Mulkia Gulf Real Estate REIT,REITs
4335,Musharaka REIT Fund,REITs
4164,Nahdi Medical Co.,Consumer Staples Distribution & Retail
3002,Najran Cement Co.,Materials
2210,Nama Chemicals Co.,Materials
1213,Naseej International Trading Co.,Consumer Durables & Apparel
6010,National Agricultural Development Co.,Food & Beverages
4291,National Company for Learning and Education,Consumer Services
2080,National Gas and Industrialization Co.,Utilities
2090,National Gypsum Co.,Materials
2060,National Industrialization Co.,Materials
4005,National Medical Care Co.,Health Care Equipment & Svc
2220,National Metal Manufacturing and Casting Co.,Materials
2002,National Petrochemical Co.,Materials
4030,National Shipping Company of Saudi Arabia,Energy
4081,Nayifat Finance Co.,Financial Services
3004,Northern Region Cement Co.,Materials
3040,Qassim Cement Co.,Materials
2380,Rabigh Refining and Petrochemical Co.,Energy
6012,Raydan Food Co.,Consumer Services
4230,Red Sea International Co.,Real Estate Mgmt & Dev't
1010,Riyad Bank,Banks
