symbol,dividend_ttm
1010,1.75
1030,0.4
1050,1.05
1060,2.0
1080,1.3
1111,3.35
1120,1.46
1140,0.95
1150,1.2
1180,2.0
1210,1.0
1212,3.0
1214,0.5
1301,0.75
1302,0.6
1303,0.25
1304,0.5
1320,3.95
1321,4.0
1322,2.08
1830,4.970000000000001
1831,0.15
1833,2.6
1834,0.25
1835,3.48
2010,3.2
2020,6.5
2040,0.5
2080,2.25
2081,1.5
2120,1.0
2150,1.4
2170,1.5
2190,0.8
2200,0.15
2222,1.4751
2230,0.05
2270,15.0
2280,1.0
2283,2.77
2284,2.0
2286,0.22
2287,0.5
2290,2.0
2310,1.0
2320,2.5
2370,0.5
2381,1.35
2382,0.646
3003,0.65
3004,0.25
3007,0.45
3010,1.25
3020,1.0
3030,2.5
3040,3.0500000000000003
3050,0.7
3060,1.0
3080,2.2
3090,0.75
3092,2.25
4001,0.3399999999999999
4002,2.0
4003,10.0
4004,2.0
4005,2.0
4007,1.4
4009,0.5
4012,0.2
4013,4.74
4014,2.0
4015,3.46
4016,2.35
4017,0.3
4018,1.6
4030,1.0
4031,1.0
4051,0.18
4081,0.8300000000000001
4084,0.655
4090,0.75
4100,1.5
4143,3.1
4144,2.24
4150,0.25
4161,0.2
4162,3.0
4163,2.52
4164,5.6
4165,4.0
4190,0.8400000000000001
4191,1.0
4200,1.5
4260,1.5
4261,2.2
4263,5.73
4280,0.28
4291,2.1
4292,1.25
4320,0.5
4321,1.125
4322,0.27
4323,0.5
4324,0.06
4330,0.32
4331,0.4
4334,0.67
4335,0.24
4336,0.32
4339,0.215
4340,0.41
4344,0.375
4348,0.42
5110,0.7
6004,2.3
6015,0.0569
6070,1.0
7010,4.05
7020,3.4
7030,0.5
7200,4.0
7202,10.0
7203,8.5
8010,1.5
8012,0.6
8170,0.6
8210,4.0
8250,1.2
