symbol,distribution_date,dividend_amount
1831,2020-09-22,2.25
9403,2020-09-14,0.0233
3004,2020-09-27,0.25
9404,2020-09-14,1.44
4330,2020-09-28,0.2
4001,2020-09-10,3.0
3040,2020-09-09,1.0
6070,2020-09-10,0.5
4150,2025-10-16,0.25
1120,2025-10-02,0.75
4144,2025-09-18,0.37
9403,2025-09-17,0.0266
2150,2025-09-30,0.5
4330,2025-09-22,0.16
1834,2025-09-07,0.12
7200,2025-09-07,0.8
6070,2025-10-30,0.7
3040,2025-09-22,0.8
4321,2025-10-15,0.375
4016,2025-09-15,1.1
4335,2025-08-26,0.1
4334,2025-08-26,0.33
1833,2025-08-28,1.35
4700,2025-08-24,0.2
4014,2025-09-18,1.0
4320,2025-09-04,0.25
1060,2025-09-04,1.0
4260,2025-09-03,0.5
1835,2025-09-01,1.4
4163,2025-08-25,0.63
4261,2025-09-18,0.55
6004,2025-09-18,1.15
4263,2025-09-09,1.52
4051,2025-09-04,0.07
2320,2025-09-01,1.0
4007,2025-08-21,0.35
4001,2025-09-17,0.12
1831,2025-08-26,0.07
4190,2025-08-20,0.16
3092,2025-09-18,1.0
2222,2025-08-28,0.3312
4322,2025-10-09,0.11
3090,2025-09-17,0.25
2382,2025-09-01,0.21
4004,2025-09-04,0.5
4323,2025-10-14,0.5
2223,2025-10-15,1.0
2010,2025-09-09,1.5
4018,2025-08-20,0.35
9403,2025-08-19,0.056
3080,2025-09-11,0.6
2286,2025-09-04,0.11
7203,2025-08-19,4.5
4003,2025-08-14,2.0
4164,2025-08-26,2.6
1830,2025-08-14,0.84
2040,2025-09-02,0.5
1303,2025-08-24,0.125
3003,2025-08-25,0.65
2020,2025-08-19,3.5
3010,2025-08-14,0.5
2290,2025-09-11,1.0
2284,2025-08-17,1.0
4013,2025-08-18,1.19
4703,2025-08-31,0.29
7010,2025-08-19,0.55
1150,2025-08-21,0.3
2283,2025-08-20,1.48
4015,2025-08-10,2.0
4191,2025-09-15,0.5
1140,2025-08-20,0.45
4701,2025-08-19,0.59
1080,2025-08-06,0.65
7020,2025-08-19,1.2
4012,2025-08-07,0.1
1010,2025-08-17,0.85
1180,2025-08-14,1.0
4336,2025-09-07,0.08
1050,2025-08-13,0.55
4084,2025-08-06,0.33
4344,2025-10-07,0.1313
3060,2025-08-28,0.5
4324,2025-08-19,0.025
2370,2025-07-08,0.5
9403,2025-07-17,0.008
4081,2025-07-29,0.33
2310,2025-07-17,0.5
2080,2025-08-13,1.15
3030,2025-07-08,1.0
4261,2025-07-10,0.52
2170,2025-06-30,0.75
4162,2025-06-30,1.0
4004,2025-06-29,0.5
1830,2025-06-04,0.81
8210,2025-07-17,4.0
4018,2025-06-03,0.25
1321,2025-08-26,2.5
3040,2025-06-16,0.8
2170,2025-06-02,0.75
4163,2025-06-03,0.63
4263,2025-07-14,1.43
4321,2025-07-03,0.375
4007,2025-05-29,0.35
2190,2025-07-20,0.8
4001,2025-06-25,0.11
2222,2025-05-29,0.3312
4190,2025-05-21,0.19
4144,2025-06-02,0.37
