symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
1201,2021,950000000,1080646000,19026000,0.03135,0.01127,128.6424,0.2842,9.0798,1.0941
1201,2022,950000000,1217030000,-158916000,-0.30514,-0.09518,-7.7436,-2.3767,6.5017,1.5075
1201,2023,464646000,1100647000,-223333000,-0.69969,-0.1511,-3.7359,-4.09,3.0474,3.6094
1201,2024,764646000,852388000,-75835000,-0.25474,-0.05952,-9.981,-1.05,5.1218,1.5186
1202,2021,500000000,887221889,220710095,0.2246,0.11802,9.8792,3.31,14.8293,0.7043
1202,2022,666666660,764228251,269698532,0.24929,0.14133,8.0864,4.05,17.7148,0.4861
1202,2023,666666660,862730540,-80269141,-0.07118,-0.0414,-28.75,-1.2,16.1144,0.5509
1202,2024,866666650,958566909,-77326129,-0.05769,-0.03445,-41.236,-0.89,18.5334,0.4414
1210,2021,275000000,447304369,34368495,0.06028,0.03195,32.04,1.25,20.7326,0.4874
1210,2022,275000000,567960439,40432242,0.06832,0.03464,22.9252,1.47,22.3078,0.6133
1210,2023,275000000,571010419,5518143,0.00915,0.00441,166,0.2,21.5399,0.5326
1210,2024,275000000,533865328,8505126,0.01425,0.00693,99.5161,0.31,21.8537,0.5111
1211,2021,12305911460,59369118054,5227700464,0.14663,0.05059,18.5142,1.4133,9.6569,1.3488
1211,2022,24611822920,55546418741,9319047152,0.2309,0.08672,17.1164,2.52,12.208,0.9549
1211,2023,36917734380,55058359289,1577326494,0.03448,0.01412,112.907,0.43,12.5812,0.841
1211,2024,38027858710,54933138491,2871544808,0.05842,0.0253,64.4872,0.78,13.6725,0.7237
1301,2021,351000000,57194125,46182991,0.10434,0.0924,22.6136,1.65,15.7633,0.0074
1301,2022,351000000,125098880,56675330,0.12705,0.10549,14.9068,2.0125,16.0093,0.0093
1301,2023,280800000,83634225,20419420,0.04971,0.03964,47.4603,0.63,13.2464,0.0094
1301,2024,280800000,72776397,16232927,0.0439,0.03624,49.9138,0.58,13.0894,0.0071
1304,2021,508000000,691722986,207831707,0.27227,0.13019,10.6112,4.09,15.0262,0.681
1304,2022,508000000,1135592305,-26655991,-0.03781,-0.01516,-43.0769,-0.52,12.7272,1.4231
1304,2023,508000000,1170531348,-130142311,-0.22348,-0.07015,-9.6641,-2.56,10.1997,1.8023
1304,2024,508000000,1093545933,70800717,0.12789,0.0396,24.0647,1.39,11.5961,1.4909
1320,2021,510000000,476802922,931645,0.00188,0.00096,1680.0001,0.015,9.7978,0.4729
1320,2022,510000000,487924633,54205644,0.10367,0.05392,16.8391,1.063,10.8922,0.4154
1320,2023,510000000,1150596330,173051631,0.27201,0.11227,10.6985,3.393,14.2825,0.7463
