symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
1010.SR,2014,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2015,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2016,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2017,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2018,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2019,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2020,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2021,30000000000.0,278436000000.0,6025379000.0,0.12739,0.0185,13.4826,2.01,15.7666,0.1957
1010.SR,2022,30000000000.0,303480000000.0,7019322000.0,0.13567,0.02048,13.7069,2.32,18.7244,0.1653
1010.SR,2023,30000000000.0,326591000000.0,8045844000.0,0.13821,0.02156,11.0465,2.58,20.1196,0.2294
1010.SR,2024,30000000000.0,382437000000.0,9321894000.0,0.14543,0.02227,9.5017,3.01,22.685,0.2015
1020.SR,2014,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2015,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2016,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2017,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2018,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2019,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2020,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2021,8200000000.0,88932250000.0,1006076000.0,0.07241,0.00978,16.3559,0.7552,10.8449,0.1644
1020.SR,2022,8200000000.0,102240000000.0,1109088000.0,0.08065,0.01014,15.1429,0.8064,10.6217,0.1635
1020.SR,2023,8200000000.0,113135000000.0,1019972000.0,0.06794,0.00831,17.3953,0.688,12.8121,0.1341
1020.SR,2024,10250000000.0,131704000000.0,1230954000.0,0.07323,0.00884,18.5149,0.808,13.4257,0.1269
1030.SR,2014,7500000000.0,85317829000.0,1061656000.0,0.06513,0.01045,14.8219,0.792,13.0444,0.0142
1030.SR,2015,7500000000.0,85317829000.0,1061656000.0,0.06513,0.01045,14.8219,0.792,13.0444,0.0142
1030.SR,2016,7500000000.0,85317829000.0,1061656000.0,0.06513,0.01045,14.8219,0.792,13.0444,0.0142
1030.SR,2017,7500000000.0,85317829000.0,1061656000.0,0.06513,0.01045,14.8219,0.792,13.0444,0.0142
1030.SR,2018,7500000000.0,85317829000.0,1061656000.0,0.06513,0.01045,14.8219,0.792,13.0444,0.0142
