symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
1201,2021,950000000.0000,1080646000.0000,19026000.0000,0.0314,0.0113,128.6424,0.284200,9.079800,1.094100,0.00777349
1201,2022,950000000.0000,1217030000.0000,-158916000.0000,-0.3051,-0.0952,-7.7436,-2.376700,6.501700,1.507500,
1201,2023,464646000.0000,1100647000.0000,-223333000.0000,-0.6997,-0.1511,-3.7359,-4.090000,3.047400,3.609400,
1201,2024,764646000.0000,852388000.0000,-75835000.0000,-0.2547,-0.0595,-9.9810,-1.050000,5.121800,1.518600,
1202,2021,500000000.0000,887221889.0000,220710095.0000,0.2246,0.1180,9.8792,3.310000,14.829300,0.704300,0.10122277
1202,2022,666666660.0000,764228251.0000,269698532.0000,0.2493,0.1413,8.0864,4.050000,17.714800,0.486100,0.12366442
1202,2023,666666660.0000,862730540.0000,-80269141.0000,-0.0712,-0.0414,-28.7500,-1.200000,16.114400,0.550900,
1202,2024,866666650.0000,958566909.0000,-77326129.0000,-0.0577,-0.0345,-41.2360,-0.890000,18.533400,0.441400,
1210,2021,275000000.0000,447304369.0000,34368495.0000,0.0603,0.0320,32.0400,1.250000,20.732600,0.487400,0.03121099
1210,2022,275000000.0000,567960439.0000,40432242.0000,0.0683,0.0346,22.9252,1.470000,22.307800,0.613300,0.04362012
1210,2023,275000000.0000,571010419.0000,5518143.0000,0.0092,0.0044,166.0000,0.200000,21.539900,0.532600,0.00602410
1210,2024,275000000.0000,533865328.0000,8505126.0000,0.0143,0.0069,99.5161,0.310000,21.853700,0.511100,0.01004863
1211,2021,12305911460.0000,59369118054.0000,5227700464.0000,0.1466,0.0506,18.5142,1.413300,9.656900,1.348800,0.05401260
1211,2022,24611822920.0000,55546418741.0000,9319047152.0000,0.2309,0.0867,17.1164,2.520000,12.208000,0.954900,0.05842350
1211,2023,36917734380.0000,55058359289.0000,1577326494.0000,0.0345,0.0141,112.9070,0.430000,12.581200,0.841000,0.00885685
1211,2024,38027858710.0000,54933138491.0000,2871544808.0000,0.0584,0.0253,64.4872,0.780000,13.672500,0.723700,0.01550695
1301,2021,351000000.0000,57194125.0000,46182991.0000,0.1043,0.0924,22.6136,1.650000,15.763300,0.007400,0.04422118
1301,2022,351000000.0000,125098880.0000,56675330.0000,0.1271,0.1055,14.9068,2.012500,16.009300,0.009300,0.06708348
1301,2023,280800000.0000,83634225.0000,20419420.0000,0.0497,0.0396,47.4603,0.630000,13.246400,0.009400,0.02107024
1301,2024,280800000.0000,72776397.0000,16232927.0000,0.0439,0.0362,49.9138,0.580000,13.089400,0.007100,0.02003454
1304,2021,508000000.0000,691722986.0000,207831707.0000,0.2723,0.1302,10.6112,4.090000,15.026200,0.681000,0.09424005
1304,2022,508000000.0000,1135592305.0000,-26655991.0000,-0.0378,-0.0152,-43.0769,-0.520000,12.727200,1.423100,
1304,2023,508000000.0000,1170531348.0000,-130142311.0000,-0.2235,-0.0702,-9.6641,-2.560000,10.199700,1.802300,
1304,2024,508000000.0000,1093545933.0000,70800717.0000,0.1279,0.0396,24.0647,1.390000,11.596100,1.490900,0.04155464
