base_symbol,first_date,last_date,first_year,last_year,source
1010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1080,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1111,2021-12-12,2025-11-02,2021,2025,yahoo_period_max
1120,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1140,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1150,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1180,2014-11-12,2025-11-02,2014,2025,yahoo_period_max
1182,2020-07-14,2025-11-02,2020,2025,yahoo_period_max
1183,2022-04-25,2025-11-02,2022,2025,yahoo_period_max
1201,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1202,2015-12-21,2025-11-02,2015,2025,yahoo_period_max
1210,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1211,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1212,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1213,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1214,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1301,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1302,2014-06-24,2025-11-02,2014,2025,yahoo_period_max
1303,2015-12-22,2025-11-02,2015,2025,yahoo_period_max
1304,2016-05-22,2025-11-02,2016,2025,yahoo_period_max
1320,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1321,2022-02-17,2025-11-02,2022,2025,yahoo_period_max
1322,2022-04-05,2025-11-02,2022,2025,yahoo_period_max
1323,2025-05-27,2025-11-02,2025,2025,yahoo_period_max
1810,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
1820,2015-12-22,2025-11-02,2015,2025,yahoo_period_max
1830,2018-09-10,2025-11-02,2018,2025,yahoo_period_max
1831,2019-06-19,2025-11-02,2019,2025,yahoo_period_max
1832,2020-12-24,2025-11-02,2020,2025,yahoo_period_max
1833,2023-06-19,2025-11-02,2023,2025,yahoo_period_max
1834,2024-06-12,2025-11-02,2024,2025,yahoo_period_max
1835,2024-11-27,2025-11-02,2024,2025,yahoo_period_max
2001,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2070,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2080,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2081,2021-04-27,2025-11-02,2021,2025,yahoo_period_max
2082,2021-12-19,2025-11-02,2021,2025,yahoo_period_max
2083,2022-11-28,2025-11-02,2022,2025,yahoo_period_max
2084,2024-06-06,2025-11-02,2024,2025,yahoo_period_max
2090,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2100,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2110,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2120,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2130,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2140,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2150,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2160,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2170,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2180,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2190,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2200,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2210,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2220,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2222,2019-12-11,2025-11-02,2019,2025,yahoo_period_max
2223,2022-12-28,2025-11-02,2022,2025,yahoo_period_max
2230,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2240,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2250,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2270,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2280,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2281,2021-12-01,2025-11-02,2021,2025,yahoo_period_max
2282,2022-08-17,2025-11-02,2022,2025,yahoo_period_max
2283,2023-06-22,2025-11-02,2023,2025,yahoo_period_max
2284,2024-03-27,2025-11-02,2024,2025,yahoo_period_max
2285,2024-10-08,2025-11-02,2024,2025,yahoo_period_max
2286,2024-10-29,2025-11-02,2024,2025,yahoo_period_max
2287,2025-03-17,2025-11-02,2025,2025,yahoo_period_max
2290,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2300,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2310,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2320,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2330,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2340,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2350,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2360,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2370,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2380,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
2381,2022-11-09,2025-11-02,2022,2025,yahoo_period_max
2382,2023-10-11,2025-11-02,2023,2025,yahoo_period_max
3002,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3003,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3004,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3005,2015-12-21,2025-11-02,2015,2025,yahoo_period_max
3007,2017-09-17,2025-11-02,2017,2025,yahoo_period_max
3008,2019-11-04,2025-11-02,2019,2025,yahoo_period_max
3010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3080,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3090,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
3091,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
